book_id,translator_id
36714,4702
115076,33130
19941,2634
14109,569
76229,32803
67445,24867
25277,14441
105144,30543
25342,43843
14025,5746
58825,442
41530,23745
101356,54924
112151,31863
112151,51963
13329,639
45609,15472
105356,28889
58102,5308
96673,52172
12000,3587
9874,5941
120784,21664
100800,31863
9166,5066
56525,818
51907,8749
25266,14649
48714,8267
10752,6375
31044,7694
53873,7535
13754,660
82579,37922
61049,10537
25290,378
45096,25114
12625,639
44894,25423
113135,2231
103181,3090
55300,3126
70486,31863
95405,50245
95405,51242
16402,3260
89058,48144
64191,34974
1806,3067
99202,228
22086,4960
56872,8325
114248,66553
62339,4927
12646,752
30350,6874
73212,10054
87974,4513
63869,35003
4645,2430
1459,660
95348,51188
54804,3543
54964,3543
72639,1011
16340,9504
42034,46062
5558,1027
119965,44544
38636,22156
25293,378
25291,378
25294,378
58217,28000
44964,3274
836,1026
104687,17037
10985,5144
88768,44117
27248,15894
14898,2920
21642,257
62651,34275
104887,27000
54954,22563
39778,3031
56507,2756
31227,10146
29097,2775
29097,11572
31218,16087
24058,5930
17883,7024
15930,4502
72208,31341
22144,12989
44256,25141
37220,14961
85169,30081
120555,53266
96110,31420
46529,26423
29840,17281
60815,27357
3521,4026
3519,4025
1863,2461
13625,7963
60686,8031
57694,5736
34605,4459
42313,4313
252,350
21298,12364
34500,19935
48410,26892
62031,2886
30046,17392
45534,25824
40065,3690
64624,32178
22814,12789
107449,63133
62767,9189
49623,21516
31299,5279
43307,24734
14141,224
4690,1027
3874,935
113460,8600
12778,3697
36552,7340
93621,11651
73848,6201
113667,26630
17971,10470
106005,5022
79018,16559
105279,27627
53368,29824
59854,980
82057,8899
97214,51893
97214,52570
110374,2262
16976,3274
16976,3906
46537,19730
77295,39464
117934,9228
111636,47148
80656,31863
80656,5241
111005,13726
53706,22677
50237,3148
29528,5227
73487,4472
121286,5760
33007,6189
77065,17926
26107,15275
37269,1111
36137,20942
17333,2258
100795,31863
100795,16484
34946,660
71547,5841
105318,31863
105318,56114
67122,37230
60612,8151
84750,20946
20842,152
95559,48076
29297,7470
54348,3475
61138,5448
63815,31863
63815,34974
7008,9820
101482,14312
73993,5065
106436,52048
106436,56833
21583,233
23032,13521
28594,1154
56737,31518
63046,4767
88372,3219
96685,3316
39127,3665
76917,18424
2367,3499
90878,30669
107504,31556
88472,47455
56628,6080
4363,3058
108420,51224
73964,40739
42228,19596
36070,20878
91598,6216
57061,31655
7129,3091
74062,4366
61403,33741
23756,7346
16568,541
107634,17950
49612,328
23023,13511
9565,5054
30364,3942
102878,55387
102878,9383
57328,22939
49672,27980
1617,380
16384,233
18554,353
87288,18441
87288,47197
82513,44842
35623,15014
77448,41935
98311,2970
84476,30900
27250,5184
49096,16466
48668,16466
54868,9509
31653,196
58506,32338
119,233
120173,3393
58294,2377
53472,5776
51376,8483
21940,12770
38478,22057
51542,1040
86053,6037
39429,13354
359,200
100882,2634
117451,68472
117453,68472
117454,68472
53222,29763
16176,2462
57564,2374
50784,28528
54447,7785
53930,4887
106472,672
29096,574
79689,14364
18699,2281
28400,2365
30021,2365
72964,40293
71976,3991
44469,2532
33688,10725
71488,3293
10270,6159
20667,12018
69506,12018
3293,3308
40878,4075
67221,27506
17827,8462
112290,31935
94349,50482
79719,14364
29279,3879
38969,5899
10793,6411
74505,757
112750,26514
19327,4782
22685,1142
110316,705
89429,18524
74040,2375
53424,29867
117904,12888
26318,534
24633,2646
14501,1027
22388,13151
53489,5564
109457,18363
104523,56098
24461,445
46727,3169
88508,25512
17124,161
61844,24297
30474,3274
104150,8404
48973,8022
55166,9637
21438,12434
60645,3058
40106,16725
15693,7224
103352,3622
22841,153
25580,6485
34434,12352
46733,8685
51119,7129
23218,7824
101533,18816
110871,196
72763,40164
113858,31470
119960,660
23085,12873
3680,4081
3679,4084
30307,4105
24347,2310
29634,400
84478,26993
82842,44970
68577,38117
36320,1069
39022,2961
108218,910
106213,22080
108621,27506
107494,63146
108767,30543
57682,31985
60351,33200
38298,440
36117,6461
36501,3017
45814,3822
11946,3882
43008,5259
12874,6808
30204,9937
57161,8600
103093,55501
76231,11090
35834,16907
29248,6248
95874,6194
2182,3364
543,508
41942,13023
98217,196
4219,3924
4228,4255
73617,40416
64043,1178
73195,40416
88300,47746
88300,47745
63842,2238
108209,31863
108209,5126
22520,3870
98440,7280
91393,7864
82707,4067
11513,6770
84192,8994
84620,3882
104759,56184
108718,214
38072,21824
62716,2262
109047,353
414,445
65454,3587
84986,45866
5315,880
113792,3401
54268,3401
37240,21413
88022,41167
27274,15799
43059,14015
24280,14015
26276,15372
1665,786
29382,445
77657,8271
63779,6927
20239,567
110833,7657
111685,7657
14735,4971
14735,4972
43476,24789
40891,12097
46103,5011
110266,27037
63729,34920
108672,11562
38424,759
48246,5484
14056,6542
85465,9208
45277,13254
55455,17891
73107,5531
3518,4023
13626,7963
381,510
1155,2422
5046,4497
29731,16138
51231,3281
48232,27149
59807,19274
36262,3036
51704,29004
18428,1160
88272,1160
93548,31863
62818,33561
62818,33675
62708,18424
16990,7053
57695,5736
98072,2968
9850,5701
82010,3031
120856,67304
22090,253
84230,6732
71975,3991
25605,5510
53467,3031
67866,336
95104,4077
21022,2957
33431,19267
23496,10127
76961,8228
173,155
49552,11090
36747,3318
39044,9148
63835,4186
64799,9228
27452,8219
15274,7716
38248,20430
102996,55381
67890,37745
104123,208
56452,8746
84566,200
14705,5346
18592,10737
109159,5863
29283,228
27449,15991
68127,37905
69,261
66056,13540
21029,12219
60526,33271
51289,6833
113280,66807
1689,1006
45434,569
24931,2800
63136,24303
98908,24303
14738,246
2858,460
14136,787
71985,3991
48660,5834
100318,10143
2560,3632
76908,29143
22724,702
81034,33158
1238,147
30478,9139
79287,2511
59575,4766
112074,6979
20276,11731
20276,11732
85469,46141
26811,15653
70613,18069
25120,14597
22380,606
45990,4392
50017,4239
50017,28170
6303,2697
45327,759
111105,12100
111105,31863
71768,5177
19287,157
15271,3274
30249,4294
61226,17540
89326,48304
105079,40164
103633,18447
116088,47406
68391,38038
43467,6265
54375,1077
50778,28527
38876,19220
38876,5561
76294,4799
76295,4799
65194,35610
68079,6608
47901,12214
56092,843
96020,51566
97721,2589
15337,780
99213,25876
99213,32250
72908,31863
72908,25876
3225,278
96781,21068
67903,32303
82695,31863
82695,2430
72576,31863
74155,23255
39693,10249
65907,36110
86184,35741
114301,26884
101354,9104
58313,3292
60878,6465
5703,914
5376,4569
11040,3442
11040,3443
43335,24746
36114,4565
83012,4386
25170,3274
25170,8471
62792,1080
82574,7795
2095,1080
876,1097
47970,2337
27995,16237
105401,31863
105401,34742
32969,8294
14220,6163
69885,4578
17138,8294
23981,7617
23878,7617
108406,35619
43512,4077
105981,32297
100312,36185
119925,23423
103436,23048
104701,23048
61651,10544
14631,8547
119235,69719
12854,239
6321,3657
64919,7853
106338,18071
8586,660
8618,3705
68342,19730
14411,3256
90773,3256
48327,22236
25214,2378
45863,26052
69066,38362
89608,48452
38172,21879
7431,152
2458,485
119654,69768
58439,10214
46738,775
29449,2287
84193,45506
63135,8441
30610,3928
22659,185
99424,26357
114494,3183
101756,13569
85242,5038
45458,2430
57983,445
47832,2982
108417,63608
55342,4359
107037,59953
31245,6961
45303,15115
14222,263
87309,47209
60633,14827
7712,4728
38324,2646
12930,552
38751,7463
14791,8629
1125,2374
100232,54418
60517,33271
60517,14963
46972,26472
27844,5241
2423,3144
96115,6351
46281,3274
46281,4877
14190,1152
4499,549
624,196
96451,51954
96451,51952
58370,9787
41295,22453
68138,378
61144,8749
61708,33858
67078,3174
67078,158
69627,4646
81441,29827
93196,49696
11295,2968
47937,5484
48821,660
72803,9435
25244,567
26627,3274
63173,7770
23151,13588
53112,8166
17423,6327
92854,48452
87629,31863
87629,6722
14161,270
14162,270
64335,1078
1776,3028
80683,18016
60536,27037
62862,34399
79477,43389
89978,48645
92819,32547
120395,9140
120967,17014
59236,9794
48543,11883
14338,8129
95847,353
33122,4012
12595,7346
16277,436
55651,11872
9908,3172
115375,52464
91931,31755
91931,31863
44105,3296
18587,7864
71412,6732
68000,31863
1648,2881
27116,15817
69670,15275
23106,702
83170,821
81124,44120
19254,3772
5263,160
5340,4581
2185,1006
20905,2968
52386,29391
74611,761
84909,31418
58842,2852
98841,582
12522,804
46830,18424
90843,23602
18721,880
55558,8781
43121,5899
72962,40289
86746,31863
33041,18095
120243,515
23992,2619
17402,2768
81272,5683
23996,4395
63816,22199
63816,1052
51213,515
17429,3409
58347,28268
32974,2787
181,196
72662,25810
73881,4366
112452,31930
109094,63947
85106,6992
48209,5484
