book_id,price,discount,date
115076,128000,20,2023-09-25 15:20:53.746373
112266,100000,20,2023-09-25 15:20:54.226673
105144,100000,30,2023-09-25 15:20:54.359188
25277,145000,25,2023-09-25 15:20:54.449290
105323,69000,25,2023-09-25 15:20:54.783484
25671,78000,0,2023-09-25 15:20:55.040333
36714,220000,25,2023-09-25 15:20:55.152333
19941,80000,25,2023-09-25 15:20:55.242332
8108,50000,30,2023-09-25 15:20:55.351946
67734,180000,15,2023-09-25 15:20:55.504015
14109,350000,20,2023-09-25 15:20:55.667833
67445,72000,0,2023-09-25 15:20:55.750833
7204,15000,0,2023-09-25 15:20:55.974836
16787,75000,25,2023-09-25 15:20:56.024837
87800,36000,25,2023-09-25 15:20:56.079833
42613,90000,25,2023-09-25 15:20:56.131833
76229,90000,25,2023-09-25 15:20:56.191833
97859,69000,0,2023-09-25 15:20:56.239834
59490,65000,10,2023-09-25 15:20:56.285841
25342,50000,0,2023-09-25 15:20:56.803744
58825,96000,25,2023-09-25 15:20:58.557281
41530,10800,25,2023-09-25 15:20:58.702278
14025,185000,15,2023-09-25 15:20:58.761522
101356,299000,15,2023-09-25 15:20:59.150485
112151,359000,0,2023-09-25 15:20:59.440438
68597,180000,25,2023-09-25 15:20:59.913771
32439,15000,25,2023-09-25 15:21:00.025507
77557,55000,0,2023-09-25 15:21:00.140002
45609,175000,30,2023-09-25 15:21:00.273998
112073,40000,30,2023-09-25 15:21:00.416032
35961,15000,20,2023-09-25 15:21:00.500996
13329,322000,25,2023-09-25 15:21:00.592063
22209,24500,0,2023-09-25 15:21:00.645061
77393,50000,20,2023-09-25 15:21:00.735063
77497,50000,0,2023-09-25 15:21:00.754061
115062,420000,20,2023-09-25 15:21:00.845063
55620,25000,30,2023-09-25 15:21:00.935103
14386,10000,0,2023-09-25 15:21:01.004139
58102,49000,20,2023-09-25 15:21:01.132971
105356,118000,15,2023-09-25 15:21:01.227970
12000,205000,20,2023-09-25 15:21:01.313972
21706,160000,25,2023-09-25 15:21:01.412966
47876,95000,25,2023-09-25 15:21:01.552358
97884,8000,0,2023-09-25 15:21:01.649970
96673,129000,20,2023-09-25 15:21:01.730105
103421,6500,0,2023-09-25 15:21:01.839142
9874,20000,0,2023-09-25 15:21:01.905144
76217,300000,25,2023-09-25 15:21:01.952142
120784,50000,20,2023-09-25 15:21:02.054145
35814,23000,0,2023-09-25 15:21:02.159178
39609,155000,10,2023-09-25 15:21:02.365509
47135,70000,25,2023-09-25 15:21:02.680474
42852,35000,20,2023-09-25 15:21:02.878998
100800,100000,30,2023-09-25 15:21:03.385573
110423,50000,0,2023-09-25 15:21:03.573275
25266,42000,25,2023-09-25 15:21:03.639276
9166,5000,0,2023-09-25 15:21:03.695276
56525,24000,0,2023-09-25 15:21:03.795329
65401,48000,25,2023-09-25 15:21:03.862614
24730,35000,0,2023-09-25 15:21:03.876181
63869,125000,30,2023-09-25 15:21:04.185483
53591,160000,20,2023-09-25 15:21:04.259485
51907,22000,25,2023-09-25 15:21:04.325173
93513,30000,25,2023-09-25 15:21:04.414999
95405,140000,10,2023-09-25 15:21:04.464963
65092,60000,0,2023-09-25 15:21:04.690237
82032,20000,25,2023-09-25 15:21:04.852793
16610,9000,25,2023-09-25 15:21:05.327255
54804,175000,15,2023-09-25 15:21:05.626173
54964,50000,0,2023-09-25 15:21:05.649173
72639,145000,0,2023-09-25 15:21:05.668173
